count_11_00	count_11_15	count_11_60	count_12_00	count_12_15	count_12_60	count_13_00	count_13_15	count_13_60
BnaA01g00010D	4840	6646	5978	9340	7205	8344	11521	11266	12398
BnaA01g00020D	103	138	107	177	134	141	199	218	150
BnaA01g00030D	3147	3987	3802	4656	4584	4821	4590	4815	4438
BnaA01g00040D	1	0	0	0	0	1	0	0	0
BnaA01g00050D	1067	1296	941	873	920	669	2207	2291	976
BnaA01g00060D	365	507	413	615	661	467	333	369	300
BnaA01g00070D	0	2	0	2	3	0	0	0	4
BnaA01g00080D	636	1342	3142	1170	1480	3139	865	1698	3970
BnaA01g00090D	7	11	12	7	11	11	17	19	26
BnaA01g00100D	1531	2147	2237	1151	1139	1437	1717	1919	2168
BnaA01g00110D	1	2	0	3	3	4	1	3	0
BnaA01g00120D	53	67	37	26	23	33	132	117	57
BnaA01g00130D	126	158	89	104	105	66	569	591	143
BnaA01g00140D	36	44	16	29	19	31	62	50	23
BnaA01g00150D	0	0	1	1	0	0	0	0	0
BnaA01g00160D	0	0	1	2	0	0	0	1	1
BnaA01g00170D	603	905	627	714	649	492	316	308	250
BnaA01g00180D	193	294	179	298	196	198	314	336	230
BnaA01g00190D	53379	81283	59837	158155	141428	124421	49570	53325	48793
BnaA01g00200D	4208	5753	5688	3926	3797	3990	3920	4562	5082
BnaA01g00210D	31154	39789	43905	24903	24849	27143	40921	48628	54754
BnaA01g00220D	11	7	15	7	3	7	11	3	13
BnaA01g00230D	0	0	0	1	0	0	0	0	0
BnaA01g00240D	0	0	1	0	2	0	1	5	0
BnaA01g00250D	0	0	0	2	0	0	0	0	0
BnaA01g00260D	10	19	15	14	7	6	23	32	36
BnaA01g00270D	7	0	8	2	6	0	7	2	1
BnaA01g00280D	2633	3749	3241	2767	2821	3126	3179	3663	3200
BnaA01g00290D	0	1	0	0	0	0	1	0	0
BnaA01g00300D	8	17	11	17	11	20	20	23	18
BnaA01g00310D	11879	24310	21467	14631	20673	21352	2370	3861	3328
BnaA01g00320D	1167	1765	1761	2052	2023	2079	1224	1420	1424
BnaA01g00330D	0	0	0	0	0	0	0	0	0
BnaA01g00340D	357	500	259	418	335	304	496	568	315
BnaA01g00350D	0	0	0	0	0	0	0	0	0
BnaA01g00360D	198	344	268	135	236	175	18	10	27
BnaA01g00370D	0	1	0	4	0	0	0	0	0
